kernel,noise,score,corr,p,method,rank,N
exponential,0,1.1359268666668141,0.99435962554689961,1,greedy,5,300
exponential,0,1.6776572144375239,0.97262276384733881,1,lars,5,300
exponential,0,2.9592195204296399,0.91212501407399837,1,greedy,5,300
exponential,0,0.35692746259820124,0.99275740294215187,1,lars,5,300
exponential,0,0.47259442924907291,0.98726761781921668,1,greedy,5,300
exponential,0,4.778617280078918,0.84298502532108943,1,lars,5,300
exponential,0,3.4879293821540851,0.91969134708823275,1,greedy,5,300
exponential,0,4.7324853855434581,0.98103783903489783,1,lars,5,300
exponential,0,4.6694294528054243,0.98154449880068462,1,greedy,5,300
exponential,0,1.2605174317110825,0.99903017463225141,1,lars,5,300
exponential,0,2.4859493758573863,0.9962226192209932,1,greedy,5,300
exponential,0,11.290573486462051,0.98354698739570279,1,lars,5,300
exponential,0,12.800307977205842,0.97880202323570886,1,greedy,5,300
exponential,0,48.566895156760637,0.92048966885022199,1,lars,5,300
exponential,0,42.174951317684481,0.94066464530158711,1,greedy,5,300
exponential,0,8.3847453237927247,0.85451058718721784,1,lars,5,300
exponential,0,3.3870220371471436,0.97773882615214081,1,greedy,5,300
exponential,0,150.93268780045128,0.90826895014280462,1,lars,5,300
exponential,0,151.95525628345226,0.90695785916395788,1,greedy,5,300
exponential,0,4.0968027761757746,0.97330138947937372,1,lars,5,300
exponential,0,6.2992066176407251,0.93565179448034164,1,greedy,5,300
exponential,0,1.1736683460012787,0.98990499639679108,1,lars,5,300
exponential,0,1.2220610454673559,0.98905065867069963,1,greedy,5,300
exponential,0,6.784546653002435,0.93716050341171786,1,lars,5,300
exponential,0,5.2545713071084315,0.96279893240315317,1,greedy,5,300
exponential,0,2.0224539727674058,0.99262698647005609,1,lars,5,300
exponential,0,3.5126698928056075,0.97758946198627805,1,greedy,5,300
exponential,0,1.5685762224220117,0.99595193996199871,1,lars,5,300
exponential,0,0.97512191986416974,0.99843752516170081,1,greedy,5,300
exponential,0,47.347425357372636,0.89014998374563603,1,lars,5,300
exponential,0,46.958972094663189,0.89205380522402622,1,greedy,5,300
exponential,0,49.86427919966782,0.98500208143816448,1,lars,5,300
exponential,0,62.578898096729908,0.97627416551445156,1,greedy,5,300
exponential,0,2.7157906159575878,0.99593496645494761,1,lars,5,300
exponential,0,1.6042731501429193,0.99858338344954733,1,greedy,5,300
exponential,0,4.3651288056829998,0.99233492770163167,1,lars,5,300
exponential,0,4.7314812148522023,0.99098823153856386,1,greedy,5,300
exponential,0,0.51506517421636899,0.99283365057103801,1,lars,5,300
exponential,0,1.0519929713702521,0.96975467948124483,1,greedy,5,300
exponential,0,0.27425770244384562,0.99828496696548263,1,lars,5,300
exponential,0,0.65007454182556867,0.99032581506607487,1,greedy,5,300
exponential,0,0.85294315475850246,0.99416777996504357,1,lars,5,300
exponential,0,0.71093247582640806,0.99595179891347696,1,greedy,5,300
exponential,0,13.143598322708074,0.96362636599046358,1,lars,5,300
exponential,0,11.107491754036609,0.97416155945244343,1,greedy,5,300
exponential,0,3.8688057930961932,0.99278181683990774,1,lars,5,300
exponential,0,3.5305381698470026,0.99399252340314836,1,greedy,5,300
exponential,0,1.2467732429827969,0.97854449412943079,1,lars,5,300
exponential,0,0.89730575165177318,0.98894476922045926,1,greedy,5,300
exponential,0,3.5637303231228898,0.90269106710643376,1,lars,5,300
exponential,0,3.7700792040140714,0.89038713752032284,1,greedy,5,300
exponential,0,2.4108446218234989,0.98850977478506319,1,lars,5,300
exponential,0,1.5621698855500565,0.99519172035145276,1,greedy,5,300
exponential,0,12.629284877415438,0.99809915714430208,1,lars,5,300
exponential,0,10.620456747624219,0.99865613996342117,1,greedy,5,300
exponential,0,0.79083954926301536,0.97779192092364986,1,lars,5,300
exponential,0,0.46361798441966934,0.99242376092775608,1,greedy,5,300
exponential,0,28.230664112435715,0.98015031537986907,1,lars,5,300
exponential,0,32.085861867740817,0.97428256585955442,1,greedy,5,300
exponential,0,1.0925114195446504,0.99228342667448399,1,lars,5,300
exponential,0,1.0671091097765826,0.992639410827723,1,greedy,5,300
exponential,0,1.409469856176111,0.98888739468398612,1,lars,5,300
exponential,0,1.4918622880321513,0.98754178837717244,1,greedy,5,300
exponential,0,1.7179498184277444,0.9873217372180656,1,lars,5,300
exponential,0,0.96831901011157162,0.99598961911057393,1,greedy,5,300
exponential,0,11.835067886026339,0.98868224038966956,1,lars,5,300
exponential,0,13.167737910193232,0.98597076954429952,1,greedy,5,300
exponential,0,5.4738026623716562,0.98490320105027074,1,lars,5,300
exponential,0,7.4826854668365792,0.97159842341430835,1,greedy,5,300
exponential,0,29.483119307254384,0.98722743502522148,1,lars,5,300
exponential,0,30.112939596923766,0.98667218580206251,1,greedy,5,300
exponential,0,2.4619572862181824,0.98505467818975057,1,lars,5,300
exponential,0,2.3260703564391281,0.98666979830034141,1,greedy,5,300
exponential,0,6.2524430867417511,0.9993273084974118,1,lars,5,300
exponential,0,5.7954754667252812,0.99942207163984442,1,greedy,5,300
exponential,0,1.0867327161003184,0.99402939084698683,1,lars,5,300
exponential,0,0.83066665474648294,0.99651594111762287,1,greedy,5,300
exponential,0,9.0223012726294911,0.97854812775730626,1,lars,5,300
exponential,0,3.5987716876591582,0.99661786601733604,1,greedy,5,300
exponential,0,0.96728109916650096,0.98852978229874966,1,lars,5,300
exponential,0,0.99799598507282372,0.98778519625510097,1,greedy,5,300
exponential,0,17.333987292201723,0.97630538661222777,1,lars,5,300
exponential,0,19.986880455394267,0.96837067844887004,1,greedy,5,300
exponential,0,1.023694970563422,0.99890286199345069,1,lars,5,300
exponential,0,0.89197520495784766,0.99916714716501009,1,greedy,5,300
exponential,0,1.8845457916886565,0.96371422482038738,1,lars,5,300
exponential,0,1.607250492669988,0.97374099439344575,1,greedy,5,300
exponential,0,inf,nan,1,lars,5,300
exponential,0,22.553796652380075,0.83922184567077895,1,greedy,5,300
exponential,0,4.0226923133028825,0.92122177793938309,1,lars,5,300
exponential,0,2.7604260644757468,0.96370676785175335,1,greedy,5,300
exponential,0,5.4308536683746409,0.96629002381812146,1,lars,5,300
exponential,0,4.013952104502911,0.9817286769028859,1,greedy,5,300
exponential,0,2.9023945972324401,0.97366718902138172,1,lars,5,300
exponential,0,1.5832975096524984,0.99223677211973915,1,greedy,5,300
exponential,0,12.180027439616273,0.99128337675399825,1,lars,5,300
exponential,0,25.692332338826329,0.96060864140229285,1,greedy,5,300
exponential,0,1.2343654687742411,0.99828424969691876,1,lars,5,300
exponential,0,3.6457436607596887,0.98493218054791853,1,greedy,5,300
exponential,0,2.3437396565591406,0.98889144556547393,1,lars,5,300
exponential,0,2.5329331793454464,0.98701336700001396,1,greedy,5,300
exponential,0,5.3537900488069559,0.97294925258654585,1,lars,5,300
exponential,0,3.181245385359126,0.9905333265224231,1,greedy,5,300
exponential,0,4.5617770792621695,0.91795487624723315,1,lars,5,300
exponential,0,3.7157525346492535,0.9463594071466277,1,greedy,5,300
exponential,0,2.0126589070530976,0.9777720697312966,1,lars,5,300
exponential,0,1.1307145162136019,0.99303814086658881,1,greedy,5,300
exponential,0,2.4825174290824239,0.98549348344453191,1,lars,5,300
exponential,0,2.3908180912524131,0.98655254805479409,1,greedy,5,300
exponential,0,4.8043303165609279,0.91160925741385168,1,lars,5,300
exponential,0,4.4431458054264672,0.92492281157529765,1,greedy,5,300
exponential,0,12.007521595191882,0.79189887917373003,1,lars,5,300
exponential,0,10.288715994380569,0.85218475864796428,1,greedy,5,300
exponential,0,1.0164291141684756,0.99803179350606475,1,lars,5,300
exponential,0,1.4940183999892669,0.99574277907449593,1,greedy,5,300
exponential,0,1.4096958429383826,0.97515758660352569,1,lars,5,300
exponential,0,1.083156401519195,0.98540927091712038,1,greedy,5,300
exponential,0,3.1626580621042319,0.99772047907231709,1,lars,5,300
exponential,0,3.7989522502827806,0.9967093124187747,1,greedy,5,300
exponential,0,1.0541756051926725,0.99375657879365631,1,lars,5,300
exponential,0,0.94395329479929979,0.99499703339578771,1,greedy,5,300
exponential,0,1.6041056284149851,0.98536792802068152,1,lars,5,300
exponential,0,2.8536630799675775,0.95292384430982136,1,greedy,5,300
exponential,0,9971.2233554784234,0.99936118172965138,1,lars,5,300
exponential,0,9926.0517896157435,0.99936695838848966,1,greedy,5,300
exponential,0,31.068744706571373,0.96491340239011392,1,lars,5,300
exponential,0,29.82588494911446,0.96771039330282982,1,greedy,5,300
exponential,0,2.3966641113792817,0.98945342209430065,1,lars,5,300
exponential,0,4.3451060755933471,0.9649013007609204,1,greedy,5,300
exponential,0,2.4489238771270063,0.96599972531568967,1,lars,5,300
exponential,0,3.3747558950190566,0.93437655639145223,1,greedy,5,300
exponential,0,5.5854110709373188,0.82730248313967036,1,lars,5,300
exponential,0,6.3338932898614502,0.77083418006640514,1,greedy,5,300
exponential,0,11.034024426285828,0.93371326697687973,1,lars,5,300
exponential,0,6.1475481295771015,0.9799039565297889,1,greedy,5,300
exponential,0,1.5938912679624915,0.99692408468436555,1,lars,5,300
exponential,0,1.8685551081317149,0.99577019998272698,1,greedy,5,300
exponential,0,1.5937487376190251,0.96902061681996376,1,lars,5,300
exponential,0,1.3821588490831518,0.97679197031724552,1,greedy,5,300
exponential,0,5.5955527557423324,0.89886353372651173,1,lars,5,300
exponential,0,5.6149331019307924,0.8981219555587272,1,greedy,5,300
exponential,0,5.0189422777049693,0.98836512490381689,1,lars,5,300
exponential,0,5.585588432451881,0.98556933757997356,1,greedy,5,300
exponential,0,8.4161002598294843,0.97688428620652112,1,lars,5,300
exponential,0,6.7160962276629821,0.98534232201852912,1,greedy,5,300
exponential,0,90.79158054845972,0.90853676881957401,1,lars,5,300
exponential,0,140.49040573600027,0.76290629525697384,1,greedy,5,300
exponential,0,18.147395147753368,0.82867590454469942,1,lars,5,300
exponential,0,9.915428233296069,0.95208733751746755,1,greedy,5,300
exponential,0,14.234345226464535,0.98531286253344852,1,lars,5,300
exponential,0,15.331884383796748,0.98294025367178584,1,greedy,5,300
exponential,0,0.62129474313527655,0.99644947465781641,1,lars,5,300
exponential,0,0.73437109053436966,0.99503595168147796,1,greedy,5,300
exponential,0,1.3315314541197616,0.97875552643434727,1,lars,5,300
exponential,0,0.99955034694445044,0.98808456920577215,1,greedy,5,300
exponential,0,2.244236411138564,0.94027194729180597,1,lars,5,300
exponential,0,2.1805535615480109,0.94371339663847664,1,greedy,5,300
exponential,0,76.886431731289662,0.98742123858944231,1,lars,5,300
exponential,0,58.032619816897949,0.99285343433591999,1,greedy,5,300
exponential,0,3.7063365714469652,0.95033371235428155,1,lars,5,300
exponential,0,2.8137648741582995,0.97168483949199502,1,greedy,5,300
