east   north   elevation  region  ca020   mg020   ctc020  ca2040  mg2040  ctc2040
5677    5159      5.25       3      41      22   170.3      26      17   132.2   
5698    5214      5.45       3      54      32     132      48      31   132.4   
5715    5260      5.55       2      46      32   129.2      28      27   103.9   
5733    5307       5.6       2      50      37   125.1      34      27    82.3   
5750    5354       5.8       2      43      29   103.6      30      29   111.8   
5770    5407       5.3       2      72      30   105.5      62      29   119.5   
5806    5500       4.7       2      56      30      90      25      18    81.5   
5825    5545       3.8       2      38      20   106.8      29      20     110   
5541    4943         6       3      64      24   112.3      71      21   114.9   
5559    4989      5.78       3      56      23   127.1      56      22   124.8   
5576    5036       5.4       3      68      34   148.1      68      33   143.4   
5595    5083      5.45       3      61      30   138.5      43      29   110.2   
5613    5129       5.2       3      50      19   133.9      41      22   128.6   
5631    5176      5.45       3      47      26   130.7      41      21   115.3   
5651    5230       5.5       3      58      31   133.9      55      29   131.1   
5668    5277       5.6       2      53      38   139.1      35      30   116.7   
5686    5325       5.5       2      47      34     125      38      31   129.3   
5704    5371         5       2      36      29   108.1      33      26    95.7   
5724    5423      5.15       2      41      34   130.5      39      25   123.2   
5765    5513       4.2       2      71      27   138.4      60      35     138   
5784    5561       3.6       2      44      22   134.2      45      18     136   
5495    4961       6.1       3      68      21     118      67      24   116.2   
5512    5006       5.9       3      67      22   128.3      55      23   126.8   
5530    5054      5.65       3      58      25   138.2      50      21   117.9   
5547    5100       5.5       3      52      27   133.1      32      15    84.4   
5565    5147      5.32       3      64      23   136.3      55      27   137.2   
5582    5193      5.55       3      54      29   130.9      25      15    76.6   
5604    5248       5.6       3      52      33   134.6      50      33   139.7   
5622    5295       5.5       2      46      39   129.6      29      31   102.9   
5658    5389      4.95       2      40      33   127.8      21      22    95.3   
5677    5440       5.4       2      39      25   106.9      37      25   109.4   
5713    5533         4       2      62      23   151.6      30      17   128.7   
5448    4980       5.9       3      58      21   117.5      54      20   111.8   
5466    5026      5.95       3      66      25   132.4      61      27     136   
5484    5073      5.75       3      50      27   134.9      40      23   131.1   
5501    5117      5.55       3      50      23     129      45      25     128   
5518    5164      5.51       3      61      27   145.1      32      23   102.3   
5536    5211      5.65       3      61      35   153.3      57      31   135.4   
5557    5266      5.64       3      58      35   150.4      57      31   151.2   
5575    5314      5.05       2      40      27   112.9      45      17   109.3   
5593    5360      5.05       2      44      29   133.2      23      15   175.8   
5631    5458       4.9       2      33      19     134      32      18   133.9   
5666    5552       4.5       2      28      19   154.4      44      22   146.6   
5685    5598      4.05       2      59      24   174.1      45      20   170.9   
5402    4997       5.9       3      66      23   128.3      60      22   120.9   
5420    5044       5.9       3      65      23   126.6      63      27   134.9   
5437    5090      5.85       3      54      26   126.6      27      17   105.5   
5455    5136      5.85       3      66      33   151.8      60      28   139.5   
5473    5183      5.85       3      71      33     153      68      30     146   
5491    5231      5.95       3      69      34   143.5      68      34   138.4   
5511    5284      5.75       3      59      37   146.8      59      38   141.8   
5529    5330       5.3       2      43      34   130.9      27      11    86.1   
5547    5377       5.1       2      41      27   117.7      39      17   115.2   
5584    5475         5       2      29      23   159.3      28      26   164.6   
5638    5615      4.35       2      72      33   166.1      66      32   163.9   
5355    5016       6.2       3      49      25   134.6      53      20   125.1   
5373    5061      6.25       3      53      28   147.8      53      28     148   
5391    5108      6.15       3      58      36   141.4      54      37   138.4   
5409    5155       6.2       3      55      42     137      50      36   138.6   
5427    5201       5.9       3      54      41   134.9      53      41   138.7   
5445    5247      5.85       3      56      35   135.7      56      39   139.6   
5466    5302      5.35       3      47      36   137.4      23      22   110.8   
5484    5348       5.4       3      43      35   148.1      38      33     148   
5501    5395       5.8       2      48      35   124.7      42      30     125   
5519    5441       5.9       2      47      30   138.4      41      25   137.8   
5538    5494      5.75       2      38      20    98.2      43      15   128.9   
5289    4984       6.1       3      58      22   127.1      55      22     128   
5308    5030      6.25       3      53      25   132.2      53      28   135.3   
5325    5077       6.4       3      52      30   140.1      53      29   144.1   
5344    5125      6.35       3      56      37   139.8      44      29   125.6   
5362    5170         6       3      53      36   139.2      53      37   137.8   
5379    5219       5.7       3      50      33   127.2      56      34     134   
5398    5266      5.38       3      47      31   137.8      51      32   131.6   
5437    5365      5.85       2      43      36   136.7      21      20    82.9   
5455    5411      5.95       2      40      29   119.6      35      25   117.1   
5473    5459         6       2      38      24   122.1      23      15    99.5   
5243    5002      6.05       3      58      26   128.2      58      24     125   
5261    5048      6.15       3      55      24   133.1      58      25   130.5   
5279    5095      6.25       3      65      29   128.8      66      22   136.8   
5297    5141         6       3      53      28   135.6      49      27   132.7   
5316    5188       5.6       3      58      27   132.3      56      28   127.8   
5334    5235      5.35       3      42      22   128.5      40      18   126.3   
5351    5281       5.2       3      46      19   135.4      41      22     138   
5374    5337      5.65       3      35      29   154.3      34      29   151.5   
5448    5529         6       1      27      13    97.6      21      12   114.3   
5485    5620      3.95       1      58      26   167.9      59      27   178.8   
5179    4973       6.1       3      56      30   132.2      49      30   119.3   
5197    5020      6.18       3      56      27   123.1      53      27   126.4   
5215    5068       6.3       3      66      14   130.3      50      34   131.5   
5233    5113      6.25       3      58      36   133.6      54      43   137.6   
5251    5160       5.6       3      45      30   130.7      44      32   130.1   
5270    5207       5.2       3      40      30   133.6      41      23   132.7   
5288    5254      5.25       3      48      28   125.7      46      27   132.3   
5307    5302      5.65       3      52      27   114.1      52      27   118.7   
5327    5354      6.05       3      31      24   132.3      24      30   150.8   
5363    5447       6.5       1      25      16      72      22      10    75.5   
5437    5639      3.83       1      40      22   174.5      44      23   183.2   
5131    4990      6.05       3      47      29   127.7      44      29   116.5   
5150    5037      6.33       3      42      29   130.4      43      28   133.1   
5169    5084      6.28       3      63      46   154.3      60      41   144.9   
5186    5131       6.1       3      63      37   152.2      58      33   142.8   
5204    5177      5.65       3      52      33   149.4      51      32   147.2   
5222    5225      5.25       3      39      22   113.4      40      24   116.8   
5240    5270      5.65       3      47      30   139.5      42      25   130.7   
5258    5317      5.95       3      42      23   146.9      42      26   150.7   
5283    5380       6.3       1      29      14   107.8      28      13   115.1   
5355    5564      4.35       1      37      20   163.8      41      19   163.8   
5372    5610      3.85       1      40      16   138.6      29      22   138.3   
5390    5656      3.79       1      52      30   154.9      30      27   129.8   
5067    4961       5.8       3      60      30   125.9      62      31   129.2   
5086    5008       5.9       3      50      31     136      50      31   133.6   
5103    5054      6.13       3      57      31   142.4      56      27   138.5   
5121    5101         6       3      68      40     156      68      40   158.2   
5140    5147      5.65       3      58      37   157.9      63      33   156.9   
5157    5195       5.4       3      43      25     120      38      22   107.4   
5176    5241      5.85       3      30      26   136.6      33      30   145.3   
5194    5287      6.05       3      28      19   119.9      25      18   115.1   
5213    5333      6.25       1      33      16    96.7      30      15    96.4   
5269    5480       5.1       1      21      18   117.8      22      13   112.3   
5343    5673      3.78       1      39      17   167.4      34      17   171.9   
5362    5720       3.3       1      36      20   186.2      24      19   212.4   
5021    4978      6.05       3      48      27   122.5      50      26   124.7   
5039    5026       5.8       3      58      20   134.8      51      23   130.2   
5057    5071      5.85       3      66      34   141.8      73      38   152.9   
5075    5118      5.68       3      51      31   143.9      49      29   140.2   
5093    5165      5.65       3      47      27   116.2      41      24   111.3   
5112    5212      5.83       3      46      22   124.1      41      22   121.2   
5129    5259       6.1       3      44      20     121      44      17   119.7   
5260    5597      4.25       1      35      18   160.1      31      17   159.5   
5279    5645       5.6       1      32      15   134.7      47      17   143.4   
4957    4951       6.3       3      64      21   113.6      56      20   111.2   
4975    4997      6.25       3      54      28   141.5      56      28   143.1   
4993    5044       6.1       3      62      33   155.2      57      31   147.9   
5011    5090      6.05       3      63      31   138.5      62      35   144.8   
5029    5136      5.95       3      78      33   151.5      76      35   154.9   
5047    5183      6.13       3      52      30   141.9      58      20   147.3   
