"cX","cY","data"
281.733391,130.164541,175
259.741391,129.792541,284
86.054391,129.707541,330
94.396391,129.596541,334
51.906391,129.174541,234
162.658391,129.120541,166
284.788391,129.110541,205
215.002391,128.174541,106
176.312391,128.007541,71
183.142391,126.906541,32
275.725391,126.718541,240
66.278391,126.682541,225
220.340391,124.881541,162
233.255391,123.891541,199
141.394391,123.624541,429
90.515391,122.974541,342
113.294391,122.713541,434
246.189391,121.818541,271
48.714391,121.453541,191
266.710391,121.004541,230
99.600391,120.635541,347
130.743391,120.349541,517
199.868391,120.295541,59
53.248391,120.250541,183
152.772391,120.245541,185
226.475391,118.263541,190
119.330391,118.211541,434
158.845391,118.006541,145
176.323391,117.999541,57
84.361391,117.498541,289
231.806391,117.204541,247
301.768391,116.114541,121
216.614391,115.954541,171
205.212391,115.876541,33
91.172391,115.180541,382
149.715391,114.695541,251
273.662391,114.448541,170
49.316391,113.655541,194
294.997391,112.632541,92
264.573391,112.073541,298
254.684391,111.925541,220
40.142391,111.623541,210
279.805391,111.221541,72
76.658391,110.941541,322
107.090391,110.543541,393
298.086391,110.473541,67
124.590391,110.385541,192
188.505391,110.241541,60
170.244391,110.212541,53
331.590391,110.172541,0.5
76.640391,109.829541,301
242.540391,109.541541,221
117.733391,109.329541,406
44.637391,108.190541,217
135.991391,108.085541,223
178.617391,107.995541,90
54.510391,106.879541,107
169.482391,106.877541,72
285.216391,106.874541,126
300.466391,106.075541,100
42.306391,106.015541,234
265.440391,105.414541,313
90.278391,105.184541,493
249.448391,105.180541,241
211.370391,104.796541,270
315.747391,104.203541,8
115.399391,103.789541,351
45.305391,103.727541,100
128.348391,103.685541,200
100.152391,102.836541,415
237.288391,102.807541,343
232.717391,102.757541,287
46.806391,102.584541,79
161.863391,102.434541,68
120.713391,101.520541,221
183.961391,101.333541,71
56.689391,101.277541,230
61.261391,101.192541,300
103.175391,100.577541,405
171.768391,100.205541,73
276.199391,100.035541,186
33.779391,99.529541,255
292.226391,99.228541,82
316.645391,98.664541,6
246.487391,98.469541,269
222.853391,98.214541,171
45.952391,98.153541,120
50.526391,98.060541,133
61.963391,97.843541,278
267.089391,97.656541,132
76.450391,97.599541,324
129.820391,95.892541,143
147.362391,95.800541,82
283.142391,95.713541,170
257.971391,95.291541,218
26.051391,95.260541,228
216.016391,94.822541,209
286.214391,94.659541,184
277.060391,94.489541,190
65.717391,94.439541,371
324.382391,94.408541,5
132.857391,93.648541,142
202.291391,93.620541,129
330.514391,93.457541,29
86.300391,93.005541,585
241.216391,92.844541,254
122.929391,92.606541,198
179.402391,92.429541,140
95.443391,91.773541,390
204.593391,91.409541,262
195.433391,91.363541,185
52.683391,91.344541,214
290.881391,90.303541,10
110.686391,89.378541,174
203.078391,89.177541,149
161.082391,89.092541,141
58.748391,89.004541,290
247.378391,88.472541,348
342.881391,88.238541,15
43.454391,88.195541,110
21.282391,87.590541,190
89.278391,87.404541,407
102.262391,87.243541,283
279.490391,86.747541,190
150.380391,85.781541,94
265.758391,85.401541,94
130.509391,84.767541,97
135.858391,84.735541,145
154.198391,84.658541,118
75.478391,84.269541,432
242.850391,83.968541,285
182.476391,82.427541,148
16.558391,82.147541,263
148.837391,81.339541,123
258.183391,80.836541,276
82.307391,80.829541,154
29.527391,80.718541,151
109.069391,80.498541,121
301.047391,79.393541,16
53.210391,79.099541,334
184.012391,79.094541,62
229.148391,78.257541,452
41.714391,78.221541,210
203.140391,78.057541,345
268.177391,77.655541,129
73.843391,77.622541,383
248.286391,77.363541,283
209.267391,76.982541,346
55.462391,76.831541,371
60.818391,76.732541,394
24.068391,76.399541,149
121.268391,75.939541,119
180.959391,75.752541,179
60.798391,75.620541,394
302.674391,74.980541,39
131.975391,74.750541,121
123.547391,73.697541,141
91.381391,72.919541,264
217.718391,72.595541,359
283.582391,72.365541,96
10.178391,72.302541,215
68.394391,72.151541,323
248.358391,71.804541,261
275.178391,71.100541,65
76.034391,70.915541,415
308.133391,70.654541,40
119.691391,70.392541,135
11.622391,68.927541,271
72.935391,68.740541,297
101.283391,68.350541,131
292.860391,68.098541,99
105.103391,67.196541,104
296.714391,67.066541,36
312.067391,66.296541,18
16.900391,65.453541,149
21.499391,65.338541,187
142.645391,64.685541,37
88.198391,64.065541,268
167.945391,63.511541,34
251.541391,62.950541,257
167.178391,62.399541,20
284.536391,62.374541,131
313.705391,61.885541,30
101.975391,61.670541,165
128.055391,61.433541,52
85.084391,60.772541,213
171.780391,60.175541,78
315.292391,59.699541,20
231.636391,59.378541,503
91.960391,58.455541,180
275.410391,57.759541,58
219.376391,57.041541,278
74.274391,56.485541,255
127.241391,54.766541,55
203.268391,54.707541,402
194.820391,54.666541,354
156.423391,54.630541,30
118.016391,53.727541,99
243.994391,52.844541,164
144.894391,52.443541,17
120.302391,51.484541,47
320.911391,49.825541,55
84.929391,49.653541,214
13.404391,48.857541,166
87.219391,48.509541,220
23.370391,47.495541,220
81.054391,47.485541,214
245.600391,47.304541,196
68.734391,46.566541,338
147.943391,45.760541,13
106.391391,43.830541,45
10.184391,43.379541,167
217.964391,41.462541,312
206.419391,41.381541,444
144.849391,41.324541,0.5
161.781391,41.278541,98
100.968391,40.553541,51
234.907391,40.507541,240
110.964391,39.335541,98
124.822391,39.216541,43
224.920391,38.185541,227
217.990391,38.126541,308
204.135391,36.920541,441
127.878391,35.859541,65
83.186391,35.221541,83
221.868391,34.822541,208
211.868391,32.521541,278
80.826391,31.919541,99
118.597391,31.482541,39
86.207391,30.730541,114
154.055391,30.173541,58
96.973391,28.368541,57
226.553391,28.192541,90
76.888391,26.418541,82
90.732391,22.885541,33
137.822391,22.454541,108
233.575391,20.477541,16
106.136391,19.368541,78
231.269391,19.342541,74
96.028391,13.923541,98
237.546391,10.512541,0.5
237.595391,6.065541,0.5
236.071391,3.824541,1
233.759391,2.687541,0.5
